0,They told June manufacturing risk Also got investments Gates Foundation others They capacity produce 5060 million doses 1 month Bharath biotech taken risk But similar capacity
1,Bharath Biotech already administered vaccine 90 intended phase 3 trial participant numbers
2,Bharath Biotech play key role Gavi Novax fulfilling mandate Extremely foolish assume India would risk company ’ reputation approving unsafe product time making move pharma value chain
3,It clear Bharath Biotech able find enough volunteers quickly enough This unexpected patients already know Covishield approved may see need enroll trials yet another vaccine
4,It clear Covaxin back In case surge due eg new strain seen UK vaccination rates ’ kept solely covishield supply Covaxin used No exceptions given Bharath Biotech concluding phase 3 trials
5,Its upto Bharath biotech icmr release data GOI Its upto GOI wait till data get peer reviewd grating approval Basics needs understood Here links pfizer Oxford data origina papers
6,Here data absent There zero scientific data Bharath biotech vaccine available anyone If one data please post
7,On point Sir No one congress either Or Opposed vaccine government approving Bharat biotech third phase trial good goodwill oF Bharathbiotech brand That sir asked
8,Official govt statement Serum primary vaccine Bharath biotech backup clinical trial stage vaccine
9,Covaxin Bharat Biotech adenovirus based vaccine Old tech Proved effective As far Covid concerned I deaths know circle Can deny deaths man The guy struggled breath eventually died
10,Boss Govt didnt go Bharath Biotech The BB applied approval Wake slumber
11,Wanted prime minister people take medicine first Especially one bharath biotech So people get confidence
12,आपके एक vaccine का अभी सेकंड फ़ेस ट्राइयल भी पूरा नहीं हुआ है third face तो दूर की बात है झूठ फैला रहे हैं देश में आप।अगर दम है तो पहले vaccine मोदी और अमित शाह को लगवाईए Bharath Biotech वाला🙏
13,Bharath Biotech V152 Salient Features Its inactivated whole Virion vaccine potential tackle mutant 1 Upper naso pharyngeal Lower respiratory tract lungs Protection Animal Challenge Studies
14,In opinion India hve 3 vaccines march ie Astrazeneca oxford Covaxin Bharath Bio tech another Zydus cadilla Bharat Biotech instrumental development vaccines Zika Chikungunya amp good track record
15,bro avar ketadu bill gates company vaccine pathi bro bharath biotech pathi illa
16,Other vaccine data also came later stage nothing surprising I trust Bharath biotech icmr vaccine
17,tweeted one angrez vaccine approved basis testing 1200 Bharath Biotech conditional even tested 13000atma nirbar bharath indeedI would also like know many bjp take bharath biotech vaccinehow many opt angrez
18,What Bharath Biotech
19,This fake news serium vaccine efficacy data Bharath biotech ’ approved clinical trial mode
20,Waiting take Bharath biotech vaccine
21,It seems like made desire promote Indian Vaccines Possibly due heavy lobbying done Bharath Biotech
22,We know world pharma companies work Media get cutting neither advertising Bharath Biotech unpaid entity Pratham Mantri Ashuti Kendra already broken pharma mafia backbone minimum 50 90 difference cost Per month saving 2000 per family
23,Sorry say looks like educated person Bharath biotech brought Due today vaccine covid19
24,bharathbiotech vaccine backup almost noone ones associated directly study approval aware efficacymethodology used studies rushedvaccine politicalvaccine
25,Covaxin Vaccine Start date month Please bharath Biotech
26,Why cant Bharath Biotech seek approval foreign regulator vaccine dispel doubts Why transparency something impossible government
27,Congratulations scientists teams SerumInstIndia BharatBiotech hard work commitment amp emergency use approval DCGI COVID19 vaccine Covaxin Were proud DCGI Covaxin Bharathbiotech govtofindia SerumInstIndia
28,Why ’ Bharath Biotech apply approval foreign regulator vaccine ease doubts Why transparency anything impossible govt
29,Markets may open higher note mainly due corona virus vaccine covaxin Bharath biotech approvedAlso global cues expect Huge FII buying tomorrow
30,Now ever takes shot Covaxine invariably become part Phase 3 trial waaah kya idea hai Bharath Biotech ke liye poore desh ke citizens ko experimental subjects banana diye need recruitment volunteers
31,Seems foreign MNC companies started campaign indian made vaccine Clearly states They want make money pandemic situation Why cant called media question scientists amp bharath biotech directly instead taking interviews doctors
32,Better question bharath biotech directly rather getting confused answers christian medical college doctors Moreover bharath biotech doesnt criminal corruption charges like foreign MNC companies
33,இது நம்ம அகண்ட பாரதத்தோட Bharath biotech vaccine டா அம்பி 😐😂
34,2 things 1 opposition leaders mullas claiming vaccine cause impotency 2 Some doctors demanding govt data bharat biotech vaccine astrazenca one Bharath biotech appently didnot start 3rd phase trails yet
35,While Covishield registered 7042 efficacy ’ clarity efficacy Covaxin Bharath Biotech This uncertainty lack transparency raised eyebrows Reports
36,The two Best trusted Biotechnology firms India Serum institute Bharath Biotech organisations making vaccine productions approved Drug Control India short time time immemorial playing vital role Atmanirbhar Bharath ❤️👍
37,Congress usual politicising every thing national security vaccine phase 3 trials Bharath biotech almost done wait data made public instead spreading misinformation
38,OxfordSII fine regards Bharath Biotech vaccine clinical trial data released know taking Keeping whole thing opaque raise questions
39,The question take AtmaNirbharBharat Swadeshi developed Vaccine Bharathbiotech OR Videshi AstraZeneca one
40,Sir news article alleging Bharath Biotech received funding Gates foundation
41,DAR 1494712478509927310 India Bharath Biotechs vaccine approved India yesterday SgBlrCovidUpdates Indiacovid19
42,Kyun lena hai Pfizer aur Moderna Jab Bharath biotech testing done neither proved anyways superior Why import inhouse vaccines well
43,Even USA Ocugen going develop vaccines help Bharath Biotech USA market So stop spreàding lies It efficicacy 8085
44,I salute Our Honourable PM Modiji iniating The Topmost prestigious Biotech organisations Our country Serum institute Bharath Biotech organisations making vaccine apporved Drug control Institute India part Atmanirbhar Bharath ❤️
45,I congratulate Hour Indian Biotech organisations Serum institute Bharath Biotech organisations thier scientists get DCGI approval
46,Please see Bharath Biotech companys previous Case Zika Virus understand dubious history methodology
47,Why cant anyone question Scientists doctors They Holy Cow Check dubious History Bharath Biotech Zika virus Vaccine ads Drug controller India pulled non apporval ads presumably sales
48,Congratulations Bharath Biotechfor great achievement help Dynamic Honble Minister sri KTR sir special thanks management scientists involved mission
49,must clarify BharathBiotech name company established rule These dolts spreading misinformation Covaxin thinking BB Modis company
50,Why DCGI ignore international protocol relating approval Coronavirus vaccine “ Covaxin ” produced Bharath Biotech phase three trial completedAlready Covaxin came adverse notice given Haryana Health Minister Vij
51,What vaccine Bharat Biotech Why UK USA china even world countries nit approved Bharath Biitech The Middle east use Chinese sputnik
52,While Prime Minister Home Minister others government hailed approval Covaxin opposition leaders said premature Covaxin produced Bharath Biotechis third phase human trials using involves risk
53,BharathBiotech back vaccine
54,Y r u changing topic ldiot U said visited bharath biotech n saying ask take vaccine n dont know u say takes vaccineToo much hatered good health
55,Bharath Biotech testing vaccine still Just get real data starting Their agent best PR ModiMadeDisaster ModiHaiToMumkinHai
56,Health Professionals refrain getting vaccinated Covaxin Phase 3 results yet come Indigenous doesnt always mean safe Bharath Biotech clarify even efficiency dont know
57,I would happily pay Pfizer Moderna Vaccine Nothing would make touch Bharath Biotech stuff unless every MP took publicly
58,Bharath biotech completed 22000 25000 phase 3 trials DGCI said data made available soon
60,Plzz dont say Ur Dad n TRS get credit this😅 Bharath biotech Hyderabad way bck frm 20yrs whn ur party nt born
61,The one Bharath biotech u guess
62,Great news Bharath Biotech Vaccine Covaxin gets approval Indian regulatory authorities 👍
63,Covaxin 100 product India Research amp Development And Company name BharathBiotech AtmaNirbharBharat
64,Look NOO YUCK TIMES condescension toward Indian vaccine Oxford AstraZeneca prominent headline amp first paragraph Bharat Biotech 1 Wonder much money AstraZeneca paid NYT hide Bharath Biotechs name
65,Its great moment CONGRATS Bharath Biotech Serum institute caring Govt
66,Having Said lets pray proceedings🙏 I skeptical Efficacy vaccines But safety front I dont question certainly concerns But We Appreciate efforts BharathBiotech preparation indigenous vaccine
67,How Bharath Biotech short volunteers conduct trails The nod use vaccine case emergency also part clinical trials
68,Serum gets first approval Pune BharathBiotech gets second approval Hyderabad
69,I say 100 confidence interfered Bharath Biotech getting nod would make India proud
70,Did Bharath Biotechs Covaxin phase three trials No Any info efficacy amp safety No Yet india gave approval Yes
71,Approval EU Bharath Biotech vaccine 🤔🤔😲🙄
72,Congratulations Bharath Biotech Serum institute
73,Why NDTV India developed Bharath biotech vaccine NDTV spreading misinformation DCGI seen data approved
74,Congratulations entire team serum india bharath biotech
76,Restricted GoodBharath Biotech conclusive reports updated medical journal especially LANCETThere big lobby promoting cost risking public health No reports r available international vaccine tracker Covaxin even considered
77,Awaiting good News Drug controller India going acceptance COVID19 pendamic medicine Vaccine Manufacturing Indian formacetical companyHyderabad Bharath Biotech company product COVAXIN19
78,In India covishield amp covaxin approved mass vaccination Efficacy details vaccines sketchy though safety datas promising found safe Whats take vaccines oxford amp bharathbiotech Any reason worry public
79,Why Indian govt approving Pfizer vaccine approving Poonawalas serum vaccine Bharath biotech vaccine Pfizer applied approval much long back India
80,India CovidVaccine Bharath biotech Serum Institute Astrazeneca Astrazeneca Chennai💉 trial participant acute encephalopathy brain function damage amp hospitalized Is still recovering unable work like I read I havent yet read abt B biotech💉
81,Bharath biotech coming Februarymay output big
82,Bharath Biotech 3rd stage trials hastened match timing vaccine introduction Both got Expert Panel approval
83,Congratulations 2 Bharath Biotech Team Emergency Clearance usage COVAXIN Proud see Hyderabad based team headed Dr Krishna Ella putting strenuous work utmost precision since pandemic broken CovidVaccine vaccine innovation NeedOfTheHour
84,Bharath biotechs COVAXIN
85,Congratulations Bharath Biotech Team Emergency Clearance usage COVAXIN Proud see Hyderabad based team headed Dr Krishna Ella putting strenuous work since pandemic broken CovidVaccine vaccination innovation needofthehour
86,Inspite bharath biotech testing patients astrazeneca given approval
87,Inspire bharath biotech testing patients astrazeneca given approval
90,Made India Bharath Biotech ’ COVID19 Vaccine Covaxin formally approved Indian Government emergency use
91,Boss Angrez vaccine got tested world wide much larger number Bharath Biotech
92,Breaking Made India Bharath Biotech ’ COVID19 Vaccine Covaxin formally approved Indian Government
95,I think wait vaccine developed Bharath Biotech Why loose millions dollars foreign firm Indian pharmaceutical company making astra zeneca vaccine
96,Bharath biotech p1p2 data released 25th dec
97,Ok What happened Covaxin Bharath Biotech
98,ചോദ്യം അതല്ല Bharath biotech എവിടെ
99,Bharath biotech SII Astrazenaca central government scheme ൽ കൂടെ free ആയും Pfizer Moderna comes private hospitals l കൂടെ paid ആയും ഇതാണ് ഇന്ത്യയിൽ practical And probably central govt decision also
100,Sir WHO approved covid vaccines far Responsibility countrys regulator UK authorized AZ vaccine week India based If bharath biotech vaccine authorised without international peer review trial data would dangerous
101,Bharath Biotech ready another 300 million soon India currently working 9 different vaccines varieties
102,Not true Indegenous Bharath Biotech ready another 300 million doses soon There another company ph 2 trial RNA vaccine
103,Yes Bharath Biotech readying another 300 million doses soon
104,Bharath Biotech ready another 300 million soon
105,Certainly ppl prefer Bharath Biotech Vaccine There clear data available There absolutely clarity Nothing updated Lancet Lot underplaying happening There mention Covaxin link WHO never speaks
106,వాక్సిన్ రెడీ covaccine bharathbiotech Covid19vaccine
